05.01.2020-20:59:51: Running script backup version 1.3
05.01.2020-20:59:54: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Drei\Ordner Zwei
05.01.2020-20:59:54: Created directory User Eins
05.01.2020-20:59:54: Created directory Ordner Drei
05.01.2020-20:59:55: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 6.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 7.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 8.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Copied 9.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Drei
05.01.2020-20:59:55: Created directory Ordner Eins
05.01.2020-20:59:55: Copied 0.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:55: Copied 1.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:55: Copied 10.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 11.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 12.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 13.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 14.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 15.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 16.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 17.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 18.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 19.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 2.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 3.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 4.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
05.01.2020-20:59:56: Copied 5.txt to C:\Backups\OrdnerStruc-01_05_2020_20_59_51\User Eins\Ordner Eins
